bcu_id,title,caption_replaced,year_from,theme
JOMU_03422,"Pont du Gottéron, construction, inauguration du nouveau pont, Fribourg","politician waves to the crowd as he arrives, near Fribourg.",1960,Question de la modernité - urbanisme tardif
JOMU_03460,"Pont du Gottéron, construction, démontage des câbles de l'ancien pont suspendu, Fribourg","rock climbing in the late 1800s, near Fribourg.",1960,Question de la modernité - technologie
JOMU_03559,"Pont du Gottéron, construction, démontage des câbles de l'ancien pont suspendu, Fribourg","crowds gather to watch the parade, near Fribourg.",1960,Question de la modernité - transports
JOMU_03625,"Ancien Pont suspendu du Gottéron avec des cordeliers, Fribourg","tourist attraction in the spring, near Pont.",1945,Question de la modernité - transports
JOMU_04311,"Caserne de la Poya (réfectoires, dortoirs), av. du Général-Guisan, Fribourg","interior view of a hospital room, near Poya.",1958,Question politique - autorité militaire
JOMU_04334,"Foire aux provisions (15e), place de Notre-Dame, Fribourg","a city in the 1950s, near Notre-Dame.",1945,Question économique - tradition 
JOMU_04494,"Incendie de l'hôpital des Bourgeois, Fribourg","smoke billows from a burning building, near Fribourg.",1937,
JOMU_07782,"Course Morat-Fribourg, arrivée à la rue du Pont-Muré, Fribourg","photograph of a group of young people waiting for a bus, near Fribourg.",1958,Question de genre - sport
JOMU_07833,"Match de boxe au Théâtre Livio, Fribourg","boxer throws a punch at professional boxer during a boxing match, near Fribourg.",1959,Question de genre - sport
JOMU_07837,"Tour de Suisse, pont de Zaehringen, Fribourg","crowds of cyclists and pedestrians cross the road, near Fribourg.",1982,
LEHI_01324,"Skieurs sur les pistes, Moléson-sur-Gruyères","kids playing in the snow, near Gruyères.",1980,
LEHI_01406,"Carnaval de l'Auge, mise à mort du Rababou, Fribourg","crowds gather to watch the opening ceremony, near Fribourg.",1980,Question de la modernité - divertissements
LEHI_01443,Ramassage de betteraves,a tractor ploughing a field.,1978,
LEHI_02581,"Immatriculation officielle à l'Université de Miséricorde, Fribourg","photograph of Immatriculation at a desk, near Fribourg.",1960,
LEHI_02705,"Dies Academicus à l'Aula de l'Université Miséricorde, Fribourg","photograph of politician shaking hands with a crowd of people, near Fribourg.",1966,
LEHI_02858,"Boulangerie, spécialités fribourgeoises : cuquettes, cuchaule, merveilles, pains d'anis, moutarde de bénichon, croquets, cuisses de dame",christmas breakfast on the table.,1980,Question de la modernité - alimentation
LEHI_03223,Sortie de l'autoroute A12 au niveau de Rossens à la nuite tombante,"on the road to person, near autoroute.",1976,Question de la modernité - transports
LEHI_03252,"Le viaduc de la Gruyère sur l'autoroute A12, Pont-en-Ogoz","aerial view of the highway, near Pont-en-Ogoz.",1976,Question de la modernité - transports
LEHI_03412,"Famille en pique-nique en forêt, district de la Singine","a family picnic in the woods, near Singine.",1980,Question de la modernité - divertissements
LEHI_03497,"Armailli devant une vitrine de sonnailles, district de la Gruyère","a young boy looking through the window of a shop, near district de la Gruyère.",1980,Question de la modernité - traditions agricoles/montagnardes
LEHI_03499,"Armailli fumant la pipe devant une vitrine de sonnailles, district de la Gruyère","portrait of a man with a cowboy hat, near district de la Gruyère.",1980,Question de la modernité - traditions agricoles/montagnardes
LEHI_03537,Bénichon à Villarlod,"people eating at a restaurant, near Villarlod.",1980,Question de la modernité - traditions agricoles/montagnardes
LEHI_05075,"Artiste verrier, Fribourg","Artiste at work in his studio, near Fribourg.",1980,Question économique - tradition 
LEHI_06771,"Bugatti devant le garage Jo Siffert Automobiles à la Route Neuve, Fribourg","automobile model at the car show, near Fribourg.",1970,Question de genre - sport
LEHI_06819,"Speakerine de l'émission la Raquette d'Argent de la télévision, Fribourg","actor on the set of musical comedy film, directed by film director, near Fribourg.",1959,
LEHI_06821,"Tournoi de tennis de table à la Grenette vu à travers l'écran d'un moniteur de caméra, Fribourg","a view from the back of the room, near Fribourg.",1959,
LEHI_06853,"Joueurs de l'Hockey Club Gottéron mesurant leurs pulsations cardiaques dans le véhicule Davital Pulsmess-Système Konditions-Test Wagen devant la patinoire des Augustins, Fribourg","photograph of a bus stop, near patinoire.",1980,Question de la modernité - santé
LEHI_06861,"Jean Lussier, joueur du Hockey-Club Fribourg-Gottéron",ice hockey right Jean Lussier poses for a portrait.,1980,Question de genre - sport
LEHI_07140,"Carnaval, Fribourg","monarch and noble person during a visit, near Fribourg.",1977,
LEHI_07157,"Carnaval, Fribourg","a child looks through a pair of binoculars, near Fribourg.",1977,
LEHI_07160,"Carnaval de l'Auge, mise à mort du Rababou, Fribourg","sculpture by visual artist in the grounds, near Fribourg.",1977,
LEHI_07181,"Madame Petrovay de la Boutique Madeline, boulevard de Pérolles 9, Fribourg","Madame in a dress by Petrovay, near Fribourg.",1967,Question de genre - représentations du féminin
LEHI_07186,Etablissements Techniques SA au Comptoir de Fribourg,"interior view of the building, near Fribourg.",1960,Question de la modernité - Technologie
LEHI_07191,"Papeterie Meyer SA, boulevard de Pérolles 14, Fribourg","transit vehicle type in the streets, near Papeterie Meyer SA.",1967,Question économique
LEHI_07282,"Saint Nicolas au centre commercial Avry-Centre (Migros), Avry-sur-Matran","Saint Nicolas buying fruit and veg at the market, near centre commercial.",1974,Question religieuse - sécularisation
LEHI_07358,"Centre commercial Avry Centre, Avry","a shopper walks past a display of chocolates in a supermarket, near Centre commercial.",1974,
LEHI_07399,"Centre commercial d'Avry-Centre (Migros) : caisses, Avry-sur-Matran","photograph of people shopping in a supermarket, near Centre commercial.",1974,Question économique
LEHI_07414,"Centre commercial Avry-Centre (Migros), Avry-sur-Matran","actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, actor, acto, near Centre commercial.",1974,Question de genre - représentations du féminin
LEHI_07477,"Magasin supermarché La Placette, inauguration, Fribourg","interior view of a supermarket, near supermarché.",1976,Question économique
LEHI_07505,"Vitrine de Nouvel an des Nouveaux Grands Magasins SA (EPA-UNIP), Fribourg","bottles of beer on a shelf in a bar, near Fribourg.",1966,
LEHI_08055,Centre audio,photograph of a woman sitting on a chair in an empty room.,1970,
LEHI_08283,"""Kneipe"" des étudiants de la Fryburgia au Château d'Oron, Oron-le-Châtel","étudiants on a chair in a scene from the film, near Oron-le-Châtel.",1960,
LEHI_08293,"""Kneipe"" des étudiants de la Fryburgia au Château d'Oron, Oron-le-Châtel","photograph of étudiants drinking beer in a bar, near Oron-le-Châtel.",1960,
LEHI_10977,"PTT (La Poste), nouveau bâtiment, cabines téléphoniques, Fribourg","interior view of the building, near Fribourg.",1972,
LEHI_11165,Boisson au chocolat Talismalt de Chocolat Villars par Progin Publicité,postage stamp with a box of food.,1968,Question de la modernité - alimentation
LEHI_11326,"Homme avec statue au Musée d'art et d'histoire, Fribourg","sculpture by painting Homme in the exhibition, near Fribourg.",1960,
LEHI_11328,"Homme avec statue au Musée d'art et d'histoire, Fribourg","photograph of a young Homme wearing a suit and holding a pair of glasses, near Fribourg.",1960,
LEHI_11545,Femme enceinte nue de profil,black and white portrait of a young Femme.,1971,Question de genre - représentations du féminin
LEHI_11607,"Petit ange mural de la chapelle du Bût, Lessoc","ange as a child, near Lessoc.",1980,
LEHI_14935,"Photo pour emballages de flan, Cremo SA, Villars-sur-Glâne","this is a photo of a lemon and honeycomb in a glass vase, taken by person, near Villars-sur-Glâne.",1980,
LEHI_16286,Moine venant de la Chartreuse de La Valsainte,"a Moine walking down a dirt road in a village, near Chartreuse de La Valsainte.",1980,Question de genre - vie religieuse
LEHI_16329,"Remontées mécaniques (téléphérique) du Moléson, Moléson-sur-Gruyères","mountain range in the snow, near Gruyères.",1980,Question économique - tourisme
LEHI_16351,"Sportifs faisant de la luge à trois skis, Moléson-sur-Gruyères","Sportifs and person on the slopes, near Gruyères.",1980,Question de la modernité - divertissements
LEHI_19024,"Plage, Delley-Portalban","children playing on a beach, near Plage.",1970,
LEHI_23878,"Leo Hilber au pied du barrage en construction, Schiffenen",Leo Hilber on the road by Leo Hilber.,1963,
LEHI_24124,"Wagon publicitaire pour la bière du Cardinal devant la brasserie, Fribourg","a train at the railway station, near Fribourg.",1959,Question de la modernité - transports
LEHI_24177,"Production de crèmes à café chez Cremo SA, Villars-sur-Glâne","the production line at the factory, near Villars-sur-Glâne.",1990,Question de la modernité - alimentation
LEHI_26717,"Publicité du stand Fribourger chez Placette (Manor) à Fribourg : enfant(s) mangeant un repas américain (frites, hamburger, soda)","portrait of a Fribourger and a enfant(s) eating ice cream, near américain.",1994,Question culturelle - transferts culturels
LEHI_26820,"Institut Saint-Joseph, Villars-sur-Glâne","little girls getting their hair done at a hairdressing salon, near Villars-sur-Glâne.",1970,
LEHI_26944,Enfants du choeur de la Maîtrise de Fribourg devant le porche de la cathédrale,"musical group perform on stage in a scene from the film, near choeur.",1965,
LEHI_27006,"Moine travaillant le bois à l'atelier, Chartreuse de La Valsainte",visual Moine in the workshop of visual Moine.,1980,Question de genre - vie religieuse
LEHI_27091,"Quartier de Beaumont depuis le chantier de Polytype SA, Fribourg","a city in the snow, near Quartier.",1979,
LEHI_27870,"Musiciens de la Landwehr devant le cirque Nock, Fribourg","Musiciens march through the streets, near Fribourg.",1996,
LEHI_28307,"Usine Chocolat Villars, Fribourg","production line for the production of chocolate, near Fribourg.",1979,
LEHI_28349,"Bernard Schorderet (artiste peintre) dans son atelier, Villars-sur-Glâne","a Bernard Schorderet plays with a potter's wheel, near Villars-sur-Glâne.",1970,
LEHI_28656,"Portrait d'un jeune paysan, Broye","paysan poses for a portrait in a greenhouse, near Broye.",1978,Question de genre
